predio,comuna,latitud,longitud,score,nivel
PARCELAS 20 Y 21 CHEQUENCO,ERCILLA,-38.025619,-72.425471,100.0,CRÍTICO
PARCELA 13 RUCAMILLA LOTE A,ERCILLA,-38.160282,-72.2119,100.0,CRÍTICO
PARCELA 18 ONTARIO,VICTORIA,-38.281379,-72.138768,100.0,CRÍTICO
PARCELA 7 LA SELVA,VICTORIA,-38.251112,-72.135485,100.0,CRÍTICO
PARCELA 7 ONTARIO LOTE-A,VICTORIA,-38.268291,-72.092195,100.0,CRÍTICO
PARCELAS 23 Y 7 SAN RAMON,ERCILLA,-38.02459,-72.473618,100.0,CRÍTICO
HIJUELA JAVIERITO UNO Y DOS,VICTORIA,-38.39438,-72.198505,100.0,CRÍTICO
SAN IGNACIO LOTE-1,LOS SAUCES,-37.938592,-72.906779,100.0,CRÍTICO
SANTA LAURA DE GUADABA 1 Y 3,LOS SAUCES,-37.93051,-72.89275,100.0,CRÍTICO
SANTA LAURA DE GUADABA-3,LOS SAUCES,-37.927164,-72.895697,100.0,CRÍTICO
HIJUELA 4 FUNDO EL CARMEN,LOS SAUCES,-38.097115,-72.648167,100.0,CRÍTICO
EL CALVARIO O SAN AURELIO,ANGOL,-37.626182,-72.862257,43.0,MEDIO
BUENAVISTA 1,LOS SAUCES,-37.926649,-72.861603,100.0,CRÍTICO
BUENAVISTA 2,LOS SAUCES,-37.931245,-72.864624,100.0,CRÍTICO
PARCELA 9 MAITENREHUE LOTE A,ANGOL,-37.701405,-72.802093,79.0,CRÍTICO
SAN JOAQUIN,LOS SAUCES,-37.912834,-73.000208,100.0,CRÍTICO
PARCELA 12 LOLENCO LOTE-A,ANGOL,-37.890257,-72.587162,100.0,CRÍTICO
SAN RUBEN,LOS SAUCES,-37.947979,-72.892154,100.0,CRÍTICO
LA LUZ,LOS SAUCES,-37.947176,-72.884163,100.0,CRÍTICO
PARCELA 9 MAITENREHUE LOTE C,ANGOL,-37.699839,-72.798549,79.0,CRÍTICO
SAN MIGUEL-LA GRANJA Y OTROS,LOS SAUCES,-37.948102,-72.727034,100.0,CRÍTICO
PARCELA 19 MAITENREHUE LOTE B,ANGOL,-37.719067,-72.871154,55.0,ALTO
PARCELA 21 TOLPAN,RENAICO,-37.665783,-72.664215,100.0,CRÍTICO
PARC 3 QUILLOTA,ANGOL,-37.733361,-72.681396,100.0,CRÍTICO
QUILPUE LOTE A,ANGOL,-37.736683,-72.701116,100.0,CRÍTICO
PARCELA 14 CATRIMALAL,ANGOL,-37.759937,-72.647554,100.0,CRÍTICO
PARCELA 36 MAITENREHUE,ANGOL,-37.663408,-72.859293,80.0,CRÍTICO
LAS CAMELIAS A-B,ANGOL,-37.72661,-72.724821,100.0,CRÍTICO
PAR.29 MAITENRREHUE L-A1,ANGOL,-37.648012,-72.885092,47.0,MEDIO
HERMANDAD CAMPESINA P6,RENAICO,-37.680421,-72.522084,33.0,MEDIO
HIJUELAS 1 Y 2 TOLPÁN,RENAICO,-37.667856,-72.66646,100.0,CRÍTICO
EL MANZANO,ANGOL,-37.624677,-72.866657,43.0,MEDIO
PARCELA.20 MAITENREHUE LOTE D1,ANGOL,-37.700914,-72.871123,55.0,ALTO
CASA PIEDRA (PARCELA 26 MAITENREHUE),ANGOL,-37.672541,-72.919436,22.0,BAJO
HIJUELA LOMAS DEL TORO B,ANGOL,-37.616135,-72.917729,39.0,MEDIO
SAN EUJENIO LOTE A,ANGOL,-37.621205,-72.911052,39.0,MEDIO
HIJUELA LOMAS DEL TORO L.A,ANGOL,-37.626779,-72.915961,43.0,MEDIO
LAS PINAS,RENAICO,-37.693637,-72.701715,100.0,CRÍTICO
P.3 H.CAMPESINA LOTE A2,RENAICO,-37.68006,-72.50499,29.0,MEDIO
PARCELA 16 C.BLANCA L1,RENAICO,-37.685163,-72.523556,49.0,MEDIO
PARCELA 8 H. CAMPESINA,RENAICO,-37.676665,-72.53047,33.0,MEDIO
PARCELA 17 C.BLANCA L.1,RENAICO,-37.689016,-72.521728,49.0,MEDIO
MAITENREHUE PARCELA 14 LOTE B,ANGOL,-37.6918,-72.809258,79.0,CRÍTICO
MAITENREHUE PARCELA 14 LOTE C,ANGOL,-37.694498,-72.807631,79.0,CRÍTICO
MAITENREHUE PARCELA 14  LOTE A,ANGOL,-37.689851,-72.811287,79.0,CRÍTICO
MAITENREHUE PARCELA 14 LOTE D,ANGOL,-37.695937,-72.813534,79.0,CRÍTICO
MAITENREHUE PARCELA 14 LOTE E,ANGOL,-37.69052,-72.816381,75.0,CRÍTICO
PARCELA 61 MAITENREHUE,ANGOL,-37.644871,-72.743884,88.0,CRÍTICO
ANILEHUE,ANGOL,-37.849949,-72.643632,100.0,CRÍTICO
CASABLANCA,ANGOL,-37.761797,-72.720256,100.0,CRÍTICO
CATRIPITRA,ANGOL,-37.626113,-72.782436,76.0,CRÍTICO
CERRO DE PIEDRA,ANGOL,-37.660259,-72.920774,14.0,BAJO
EL ALMENDRO,RENAICO,-37.69828,-72.664071,100.0,CRÍTICO
EL ARENAL,ANGOL,-37.65404,-72.809872,88.0,CRÍTICO
EL AROMO,ANGOL,-37.62086,-72.756527,76.0,CRÍTICO
EL CERRO,ANGOL,-37.771758,-72.738659,100.0,CRÍTICO
EL LINGUE,ANGOL,-37.598422,-72.777638,47.0,MEDIO
EL PEUMO,ANGOL,-37.6454,-72.774673,84.0,CRÍTICO
EL RETIRO,ANGOL,-37.797159,-72.766608,100.0,CRÍTICO
EL BOLDO Y OTROS,TEODORO SCHMIDT,-38.904353,-73.115354,100.0,CRÍTICO
TRAHUAHUI Y OTRO,NUEVA IMPERIAL,-38.827974,-73.094268,100.0,CRÍTICO
SANTA GERTRUDIS,CARAHUE,-38.752892,-73.166035,100.0,CRÍTICO
PARCELA 5 Y 6 EL ALMA,SAAVEDRA,-38.771895,-73.263815,100.0,CRÍTICO
EL CARMEN,CARAHUE,-38.62211,-73.254575,100.0,CRÍTICO
ALTO CHELLE LOTE 2,TEODORO SCHMIDT,-38.995848,-73.128465,100.0,CRÍTICO
MADILHUE,LUMACO,-38.43622,-72.998536,100.0,CRÍTICO
LA LIBERTAD,NUEVA IMPERIAL,-38.603319,-73.062089,100.0,CRÍTICO
EL CARMEN CARAHUE,CARAHUE,-38.729127,-73.216951,100.0,CRÍTICO
BUENAVISTA LOTES,CARAHUE,-38.806681,-73.202827,100.0,CRÍTICO
EL PORVENIR 4,NUEVA IMPERIAL,-38.606503,-73.06742,100.0,CRÍTICO
LAS NOCHAS,CARAHUE,-38.578919,-73.301557,100.0,CRÍTICO
LOS COIHUES II,CARAHUE,-38.591482,-73.345188,100.0,CRÍTICO
LAS MERCEDES III,CARAHUE,-38.593287,-73.07225,100.0,CRÍTICO
HIJUELA 19 LAS QUEMAS,TOLTEN,-39.119025,-73.00564,92.0,CRÍTICO
SAN RICARDO (USUFRUCTO),CARAHUE,-38.659213,-73.15275,100.0,CRÍTICO
EL AVELLANO (CAUTIN),CARAHUE,-38.68607,-73.168785,100.0,CRÍTICO
PC-N┬║ 17 PANCUL,CARAHUE,-38.753984,-73.107239,100.0,CRÍTICO
SAN CARLOS (CAUTIN),NUEVA IMPERIAL,-38.717423,-72.933169,100.0,CRÍTICO
PC-N┬║ 20 PANCUL TREN-TREN,CARAHUE,-38.764033,-73.087859,100.0,CRÍTICO
MADILHUE PINE TREE ONE,LUMACO,-38.443939,-73.058646,100.0,CRÍTICO
EL CHILCO SALANDA (HUAMAQUI),LUMACO,-38.447908,-73.045056,100.0,CRÍTICO
LAS TRIACAS B (LAS TRIACAS SUR CERRO VERDE),NUEVA IMPERIAL,-38.558086,-73.043028,100.0,CRÍTICO
SAN IGNACIO - QUIRIPÍO,CARAHUE,-38.63709,-73.234393,100.0,CRÍTICO
CARIÑENA,CARAHUE,-38.446343,-73.113442,100.0,CRÍTICO
LT-2B LOS GUINDOS,NUEVA IMPERIAL,-38.709431,-73.025125,100.0,CRÍTICO
LT-A1 HJ-SAN LUIS (RANQUILCO ALTO),NUEVA IMPERIAL,-38.700972,-73.027095,100.0,CRÍTICO
HJ-N┬║ 7 - LAS ÑOCHAS,CARAHUE,-38.569841,-73.314388,100.0,CRÍTICO
HJ-N┬║ 16 B,CARAHUE,-38.580848,-73.35772,100.0,CRÍTICO
LOTE 2 DE LA HIJUELA N┬░ 15 BAJO LONCOYAMO,CARAHUE,-38.597139,-73.431699,100.0,CRÍTICO
SAN JORGE (CAUTIN),NUEVA IMPERIAL,-38.543682,-73.059422,100.0,CRÍTICO
"LT-N┬║ 1, 2, 3, 4 - LAS ÑOCHAS",CARAHUE,-38.565297,-73.341209,100.0,CRÍTICO
ALTO YUPEHUE,CARAHUE,-38.51327,-73.435877,100.0,CRÍTICO
LT-N┬║ 2 AILLINCO,CARAHUE,-38.433129,-73.41153,100.0,CRÍTICO
LT-N┬║ 2 HJ-S/N AILLINCO,CARAHUE,-38.451489,-73.414376,100.0,CRÍTICO
HJ-N┬║ 8 - ALTO YUPEHUE,CARAHUE,-38.521841,-73.375856,100.0,CRÍTICO
LOS LAURELES (CAUTIN),CARAHUE,-38.458757,-73.319195,100.0,CRÍTICO
HJ-N┬║ 15 - ARAUCARIAS,CARAHUE,-38.509711,-73.241268,100.0,CRÍTICO
LOS MÁRTIRES,CARAHUE,-38.528849,-73.435375,100.0,CRÍTICO
EL YUPEHUE,CARAHUE,-38.525457,-73.409667,100.0,CRÍTICO
EL DESENGAÑO LT-N┬░4,NUEVA IMPERIAL,-38.808885,-72.992051,100.0,CRÍTICO
MADILHUE SALANDA,LUMACO,-38.445907,-73.051058,100.0,CRÍTICO
ALAGÓN,CARAHUE,-38.457289,-73.117632,100.0,CRÍTICO
LT-A Y B TROVOLHUE,CARAHUE,-38.582861,-73.362211,100.0,CRÍTICO
LT-1 HJ-N┬░ 15 BAJO LONCOYAMO,CARAHUE,-38.604049,-73.435729,100.0,CRÍTICO
LT-A2 HJ-SAN LUIS (RANQUILCO ALTO),NUEVA IMPERIAL,-38.703506,-73.02754,100.0,CRÍTICO
HJ-ALTO YUPEHUE,CARAHUE,-38.524306,-73.427708,100.0,CRÍTICO
HJ-N┬║ 1 - ALTO YUPEHUE,CARAHUE,-38.517992,-73.402273,100.0,CRÍTICO
LOS GUINDOS HJ-2 - LT-C,NUEVA IMPERIAL,-38.713676,-73.02656,100.0,CRÍTICO
LOS GUINDOS LT-A2,NUEVA IMPERIAL,-38.703448,-73.022179,100.0,CRÍTICO
HJ-N┬║ 33 - LAS ÑOCHAS (PINO HUACHO),CARAHUE,-38.566871,-73.316612,100.0,CRÍTICO
HJ-N┬║ 38 - LAS ÑOCHAS,CARAHUE,-38.572051,-73.320362,100.0,CRÍTICO
LA FORTUNA,ERCILLA,-38.089752,-72.223107,100.0,CRÍTICO
SAN PEDRO,ERCILLA,-38.097097,-72.310179,100.0,CRÍTICO
NUEVA FRANCIA,ERCILLA,-38.097433,-72.263487,100.0,CRÍTICO
ARIZONA,ERCILLA,-38.0724,-72.311426,100.0,CRÍTICO
EL ROSAL,ERCILLA,-38.062894,-72.318683,100.0,CRÍTICO
NUEVA ESCOCIA,ERCILLA,-38.091885,-72.300397,100.0,CRÍTICO
EL HUEQUEN,ERCILLA,-38.135197,-72.206899,100.0,CRÍTICO
LOS COPIHUES,ERCILLA,-38.166295,-72.080556,100.0,CRÍTICO
EL RETIRO CHICO,VICTORIA,-38.284921,-72.114126,100.0,CRÍTICO
LA ESPERANZA,VICTORIA,-38.264079,-72.078023,100.0,CRÍTICO
LAS MERCEDES Y OTRO,VICTORIA,-38.235519,-72.218818,100.0,CRÍTICO
HOSPITAL,VICTORIA,-38.231175,-72.157922,100.0,CRÍTICO
SAN ANDRES,VICTORIA,-38.242949,-72.069241,100.0,CRÍTICO
PARCELAS CHEQUENCO,ERCILLA,-38.037602,-72.439894,100.0,CRÍTICO
PARCELA 7 PROYECTO REQUEN,ERCILLA,-38.004855,-72.527049,100.0,CRÍTICO
BELLAVISTA,ANGOL,-37.949555,-72.595867,100.0,CRÍTICO
BELLAVISTA 2,ANGOL,-37.959467,-72.60442,100.0,CRÍTICO
SANTA ALICIA LOTE A,ANGOL,-37.989573,-72.549052,100.0,CRÍTICO
TACNA,ANGOL,-37.922468,-72.565271,100.0,CRÍTICO
EL UNO,VICTORIA,-38.380381,-72.13966,100.0,CRÍTICO
ENTRE RIOS,CURACAUTIN,-38.432227,-71.946005,100.0,CRÍTICO
"PEHUENCO PARC.12,13 Y 18",VICTORIA,-38.317807,-71.976841,100.0,CRÍTICO
PARCELAS CALIFORNIA,VICTORIA,-38.274572,-72.015705,100.0,CRÍTICO
PARCELAS ONTARIO,VICTORIA,-38.272239,-72.120069,100.0,CRÍTICO
FILADELFIA LOTE 3A,VICTORIA,-38.24203,-72.167846,100.0,CRÍTICO
SANTA AMALIA Y BERNARDO O'HIGGINS,VICTORIA,-38.212451,-72.040784,100.0,CRÍTICO
SANTA ROSA DE HUEQUEN,ERCILLA,-38.11385,-72.227822,100.0,CRÍTICO
TRES MONTES Y MELA,ERCILLA,-38.111191,-72.287757,100.0,CRÍTICO
ARIZONA 1 Y 2,ERCILLA,-38.072544,-72.318409,100.0,CRÍTICO
ROSARIO 4 PARCELA 1,VICTORIA,-38.372506,-72.165739,100.0,CRÍTICO
PARCELA I SAN RAMON,ERCILLA,-38.023269,-72.435529,100.0,CRÍTICO
LAS MARAVILLAS,VICTORIA,-38.367153,-72.252001,100.0,CRÍTICO
PARCELA 25 SAN RAMON,ERCILLA,-38.023407,-72.463681,100.0,CRÍTICO
LAS VIOLETAS,ERCILLA,-38.072626,-72.332921,100.0,CRÍTICO
PARCELA 21 CALIFORNIA,VICTORIA,-38.284275,-72.036009,100.0,CRÍTICO
EL CRIADERO,ERCILLA,-38.142068,-72.183923,100.0,CRÍTICO
PARC. 3 SARA MALLECO,ERCILLA,-38.132046,-72.179339,100.0,CRÍTICO
PARC. 4 ONTARIO,VICTORIA,-38.251479,-72.096979,100.0,CRÍTICO
PARC. 18 SARA MALLECO,ERCILLA,-38.148341,-72.156283,100.0,CRÍTICO
PARCELA 2 SAN CARLOS LOTE A,VICTORIA,-38.405531,-72.146126,100.0,CRÍTICO
MARILUAN,VICTORIA,-38.246209,-72.159455,100.0,CRÍTICO
LAS MERCEDES,VICTORIA,-38.233719,-72.180432,100.0,CRÍTICO
PARCELA 11 LA SELVA,VICTORIA,-38.257443,-72.145044,100.0,CRÍTICO
SANTA ROSA DE ADENCUL,VICTORIA,-38.170624,-72.478748,100.0,CRÍTICO
AGUAS BUENAS II,VICTORIA,-38.344316,-72.189298,100.0,CRÍTICO
SANTA MARTA Y OTROS,VICTORIA,-38.356905,-72.238211,100.0,CRÍTICO
LAS VERTIENTES,VICTORIA,-38.195177,-72.490373,100.0,CRÍTICO
PARCELA 16 QUINO,VICTORIA,-38.260969,-72.172849,100.0,CRÍTICO
PARCELA 8 EL ROSARIO 4,VICTORIA,-38.354059,-72.152448,100.0,CRÍTICO
EL PASO Y OTROS,VICTORIA,-38.333008,-72.149174,100.0,CRÍTICO
PARC. 12 LA FORTUNA LOTE B,ERCILLA,-38.110404,-72.220724,100.0,CRÍTICO
PARCELA 5 P/P CHERQUENCO,ERCILLA,-38.045873,-72.446386,100.0,CRÍTICO
SARA MALLECO P.8,ERCILLA,-38.137721,-72.173264,100.0,CRÍTICO
PARC. 42 LAS LILAS,VICTORIA,-38.185449,-72.435423,100.0,CRÍTICO
EL CARMEN Y OTRO,VICTORIA,-38.441295,-72.229056,100.0,CRÍTICO
JUNQUILLAR,ANGOL,-37.790125,-72.746869,100.0,CRÍTICO
LA LOMA,ANGOL,-37.668902,-72.753347,100.0,CRÍTICO
LAS ANIMAS,ANGOL,-37.710583,-72.792794,79.0,CRÍTICO
LAS CASAS,ANGOL,-37.649029,-72.756273,88.0,CRÍTICO
LAS LOMAS,ANGOL,-37.628873,-72.741138,76.0,CRÍTICO
LAS MELLIZAS,ANGOL,-37.73225,-72.7297,100.0,CRÍTICO
LAS PIRCAS,ANGOL,-37.709638,-72.774741,95.0,CRÍTICO
LINECO Y OTRO,RENAICO,-37.635978,-72.671593,90.0,CRÍTICO
LOS COPIHUES,ANGOL,-37.722205,-72.825609,83.0,CRÍTICO
LOS GUINDOS,ANGOL,-37.652414,-72.851409,72.0,ALTO
LOS LEONES,ANGOL,-37.733362,-72.762023,100.0,CRÍTICO
LOS MELLICOS,ANGOL,-37.693029,-72.720621,100.0,CRÍTICO
LOS PANTANOS,ANGOL,-37.631282,-72.729417,84.0,CRÍTICO
LOS PLACERES,ANGOL,-37.816317,-72.788321,100.0,CRÍTICO
MAHUIDA,LOS SAUCES,-37.869647,-72.808155,100.0,CRÍTICO
MAITENREHUE,ANGOL,-37.682762,-72.748856,100.0,CRÍTICO
PELLOMENCO,ANGOL,-37.77959,-72.742389,100.0,CRÍTICO
PISAGUA,ANGOL,-37.65738,-72.702679,100.0,CRÍTICO
PITRUFQUEN,ANGOL,-37.613382,-72.774415,51.0,ALTO
QUILLOTA,ANGOL,-37.744435,-72.682563,100.0,CRÍTICO
SABANILLA,ANGOL,-37.630859,-72.802301,76.0,CRÍTICO
SAN RAFAEL,ANGOL,-37.662926,-72.713287,100.0,CRÍTICO
SANTA CANDELARIA,ANGOL,-37.709251,-72.710172,100.0,CRÍTICO
SANTA DINA,ANGOL,-37.631853,-72.762213,76.0,CRÍTICO
SANTA MARINA,RENAICO,-37.630003,-72.691768,78.0,CRÍTICO
TOLPANCITO,RENAICO,-37.655367,-72.683287,100.0,CRÍTICO
VERDUN,ANGOL,-37.83682,-72.747929,100.0,CRÍTICO
LA BODEGA,RENAICO,-37.622909,-72.686442,78.0,CRÍTICO
EL CERRO DE PELLOMENCO Y OTROS,ANGOL,-37.764773,-72.764927,100.0,CRÍTICO
LA DICHA,ANGOL,-37.669447,-72.810116,92.0,CRÍTICO
LA RINCONADA,ANGOL,-37.759746,-72.787657,100.0,CRÍTICO
PARCELA 12 TOLPAN,RENAICO,-37.660249,-72.674225,100.0,CRÍTICO
PARCELA 40 MAITENREHUE,ANGOL,-37.632576,-72.816044,47.0,MEDIO
TOLPAN,RENAICO,-37.679996,-72.684746,100.0,CRÍTICO
PARCELAS 54 Y 55 MAAITENREHUE,ANGOL,-37.677838,-72.770478,100.0,CRÍTICO
PARCELA 8 MAITENREHUE,ANGOL,-37.705056,-72.818451,75.0,CRÍTICO
BUENA ESPERANZA,ANGOL,-37.648671,-72.974129,34.0,MEDIO
PARCELA 7 MAITENREHUE,ANGOL,-37.710614,-72.830082,75.0,CRÍTICO
EL TOCO,ANGOL,-37.736826,-72.781036,100.0,CRÍTICO
PARCELA 28 MAITENREHUE,ANGOL,-37.665303,-72.902463,14.0,BAJO
PARCELAS TOLPAN,RENAICO,-37.666285,-72.688416,100.0,CRÍTICO
PARCELA 11 MAITENREHUE,ANGOL,-37.68069,-72.789106,100.0,CRÍTICO
PARCELA 28 TOLPAN,RENAICO,-37.671067,-72.69314,100.0,CRÍTICO
EL PINO,ANGOL,-37.673955,-73.014397,50.0,ALTO
TRES PINOS,ANGOL,-37.683414,-72.991797,18.0,BAJO
PARCELA 6 MAITENREHUE LOTE A,ANGOL,-37.71369,-72.853066,75.0,CRÍTICO
PARCELAS 8 Y 9 EL LABRADOR,RENAICO,-37.702279,-72.628316,100.0,CRÍTICO
PARCELA 51 MAITENREHUE,ANGOL,-37.652949,-72.791633,92.0,CRÍTICO
TRES PINOS 2,ANGOL,-37.668327,-72.988779,34.0,MEDIO
EL BOLDO,ANGOL,-37.675415,-72.979117,18.0,BAJO
PARCELA 11 LOMA DEL TORO,ANGOL,-37.631025,-72.922352,10.0,BAJO
EL QUILLAY LOTE A,ANGOL,-37.629938,-72.899313,43.0,MEDIO
PARCELA 32 TOLPAN,RENAICO,-37.673763,-72.666236,100.0,CRÍTICO
LA PAZ LOTE A,ANGOL,-37.74417,-72.8842,75.0,CRÍTICO
PARCELA 20 MAITENREHUE,ANGOL,-37.705086,-72.878693,55.0,ALTO
HIJUELA 3 QUILLOTA,ANGOL,-37.739251,-72.669819,100.0,CRÍTICO
HJ-1 EL DESENGAÑO,NUEVA IMPERIAL,-38.808072,-72.977347,100.0,CRÍTICO
HJ-2 EL DESENGAÑO,NUEVA IMPERIAL,-38.811626,-72.984236,100.0,CRÍTICO
PC-N┬║ 18 PANCUL LOTE 1,CARAHUE,-38.756778,-73.103025,100.0,CRÍTICO
PC-N┬║ 5 PANCUL LOTE B-3,CARAHUE,-38.748026,-73.10313,100.0,CRÍTICO
PC-N┬║ 16 PANCUL,CARAHUE,-38.750868,-73.111296,100.0,CRÍTICO
HJ-N┬║ 23 - LAS ÑOCHAS,CARAHUE,-38.5613,-73.336779,100.0,CRÍTICO
HJ-N┬║ 35 - LAS ÑOCHAS,CARAHUE,-38.568723,-73.345525,100.0,CRÍTICO
HJ-N┬║ 27 - LAS ÑOCHAS,CARAHUE,-38.564609,-73.349348,100.0,CRÍTICO
HJ-N┬║ 22 A Y B - LAS ÑOCHAS,CARAHUE,-38.560707,-73.347646,100.0,CRÍTICO
HJ-SANTA ISABEL - LAS ÑOCHAS,CARAHUE,-38.566686,-73.355662,100.0,CRÍTICO
HJ-N┬║ 18 A Y B - LAS ÑOCHAS,CARAHUE,-38.556686,-73.346008,100.0,CRÍTICO
HJ-N┬║ 19 LAS NIOCHAS,CARAHUE,-38.556913,-73.33737,100.0,CRÍTICO
HJ-N┬║ 17 - LAS ÑOCHAS,CARAHUE,-38.553495,-73.344963,100.0,CRÍTICO
HJ-N┬║ 37 - LAS ÑOCHAS,CARAHUE,-38.571466,-73.331964,100.0,CRÍTICO
HJ-20A LAS ÑOCHAS,CARAHUE,-38.555548,-73.333453,100.0,CRÍTICO
LOS GUINDOS LT-B HJ-N┬║ 1,NUEVA IMPERIAL,-38.707037,-73.031686,100.0,CRÍTICO
SN JOSE,TEODORO SCHMIDT,-38.932129,-72.977061,100.0,CRÍTICO
MOLCO ALTO Y OTROS,NUEVA IMPERIAL,-38.88425,-73.058246,100.0,CRÍTICO
EL DESCANSO,TEODORO SCHMIDT,-38.942191,-73.036472,100.0,CRÍTICO
PARCELA LOTE F,CARAHUE,-38.695459,-73.21573,100.0,CRÍTICO
SAN VALERIO,TOLTEN,-39.118066,-72.985386,100.0,CRÍTICO
LA CHICA,TOLTEN,-39.181142,-73.024404,68.0,ALTO
SAN FROILAN Y EL SALTO,TOLTEN,-39.085414,-73.040731,100.0,CRÍTICO
ALTO CHELLE,TEODORO SCHMIDT,-39.023415,-73.142979,100.0,CRÍTICO
SANTA AMELIA II LOTE B,TOLTEN,-39.296452,-73.042285,56.0,ALTO
SAN JUAN DE TROVOLHUE Y OTRO,CARAHUE,-38.599096,-73.343051,100.0,CRÍTICO
HIJUELA 4 DINAMARCA,CARAHUE,-38.554052,-73.195741,100.0,CRÍTICO
LA CARMELA,TOLTEN,-39.281022,-73.055572,64.0,ALTO
SANTA CELIA,CARAHUE,-38.620597,-73.190861,100.0,CRÍTICO
LOS MAITENES,NUEVA IMPERIAL,-38.868225,-73.048036,100.0,CRÍTICO
LOBERIA LOTE 1,CARAHUE,-38.642309,-73.45958,100.0,CRÍTICO
LA LADERA I,LONCOCHE,-39.260321,-72.630143,92.0,CRÍTICO
LA LADERA II,LONCOCHE,-39.259233,-72.635083,92.0,CRÍTICO
SANTA ANITA Y OTROS,GORBEA,-39.254801,-72.599493,78.0,CRÍTICO
LAS PRADERAS,CHOLCHOL,-38.565163,-72.98591,100.0,CRÍTICO
EL MIRADOR PARCELA 26,VILCUN,-38.775585,-72.155484,100.0,CRÍTICO
BAYONA Y OTRO,LAUTARO,-38.56436,-71.99604,100.0,CRÍTICO
VISTA BELLA LOTE A,GORBEA,-39.198621,-72.715614,54.0,ALTO
LA SOMBRA,GORBEA,-39.152618,-72.741363,44.0,MEDIO
LA SEDE,GORBEA,-39.143776,-72.744558,44.0,MEDIO
LOS MANZANOS,GORBEA,-39.213581,-72.767678,50.0,ALTO
MANTAHUITO,GORBEA,-39.213929,-72.78064,50.0,ALTO
LA ILUSION Y SANTA CECILIA,GORBEA,-39.256484,-72.786895,68.0,ALTO
SAN FERNANDO,PITRUFQUEN,-39.131389,-72.939667,98.0,CRÍTICO
SANTA LUCIA,CHOLCHOL,-38.47468,-72.985609,100.0,CRÍTICO
BOTACURA,GORBEA,-39.094785,-72.736532,73.0,ALTO
PARCELA 2 P.P. LA MONTAN,VILCUN,-38.587207,-72.295453,100.0,CRÍTICO
LA PARCELA Y SANTA INES,CUNCO,-38.854124,-72.210229,100.0,CRÍTICO
LA SELVA,GORBEA,-39.18629,-72.776469,28.0,MEDIO
SAN IGNACIO,LAUTARO,-38.440837,-72.184066,100.0,CRÍTICO
SAN MIGUEL II Y OTROS,VILCUN,-38.790372,-72.362741,100.0,CRÍTICO
PARCELA 14 UNION CAMPESINA,LAUTARO,-38.526658,-72.119232,100.0,CRÍTICO
LOS PINOS,GORBEA,-39.157478,-72.741339,44.0,MEDIO
SAN NICOLAS,PITRUFQUEN,-39.120929,-72.966269,100.0,CRÍTICO
DON OCTAVIO,GORBEA,-39.169826,-72.787649,40.0,MEDIO
SAN NICOLAS IV,PITRUFQUEN,-39.110983,-72.974074,100.0,CRÍTICO
LOS PRADOS Y OTROS,VICTORIA,-38.313377,-72.139776,100.0,CRÍTICO
PARCELA 1 EL CASTANO,ERCILLA,-38.166143,-72.120232,100.0,CRÍTICO
SANTA FILOMENA Y OTROS,ERCILLA,-38.146953,-72.134295,100.0,CRÍTICO
PARC.5 SARA MALLECO,ERCILLA,-38.127217,-72.171226,100.0,CRÍTICO
PARC.LA FORTUNA #19 #20 #23,ERCILLA,-38.112153,-72.206484,100.0,CRÍTICO
PARCELA 3 EL CASTANO,ERCILLA,-38.172344,-72.105763,100.0,CRÍTICO
PARCELA 17 CHEQUENCO,ERCILLA,-38.034951,-72.433749,100.0,CRÍTICO
PARCELA CULLINCO Y OTROS,VICTORIA,-38.368747,-72.219622,100.0,CRÍTICO
OREGON Y OTRO,ERCILLA,-38.1156,-72.177852,100.0,CRÍTICO
LA PLANADA,VICTORIA,-38.202838,-72.478967,100.0,CRÍTICO
PARCELA 1 RUCAMILLA,VICTORIA,-38.173536,-72.199852,100.0,CRÍTICO
LOTE 1 LOS ULMOS,VICTORIA,-38.303619,-72.290168,100.0,CRÍTICO
PARCELA 14 SARA MALLECO,ERCILLA,-38.138043,-72.15919,100.0,CRÍTICO
PARCELA 1 EL ROSARIO 4,VICTORIA,-38.367653,-72.149553,100.0,CRÍTICO
PARCELA 8 RUCAMILLA,ERCILLA,-38.162937,-72.194796,100.0,CRÍTICO
PARCELA 11 Y 12 LA FORTUNA,ERCILLA,-38.106573,-72.219478,100.0,CRÍTICO
SAN JAVIER II Y OTROS,VICTORIA,-38.401736,-72.206046,100.0,CRÍTICO
PARCELA 22 LA FORTUNA,ERCILLA,-38.104593,-72.198603,100.0,CRÍTICO
PARCELA 9 RUCAMILLA,ERCILLA,-38.162405,-72.20241,100.0,CRÍTICO
SANTA ELENA,VICTORIA,-38.386946,-72.031356,100.0,CRÍTICO
LAS HIGUERAS,PERQUENCO,-38.392071,-72.25578,100.0,CRÍTICO
PARCELA 20 EL CASTAÑOPAA,ERCILLA,-38.147122,-72.09083,100.0,CRÍTICO
PARCELA RUCAMILLA LOTE 3,VICTORIA,-38.187509,-72.210661,100.0,CRÍTICO
MELA,ERCILLA,-38.110131,-72.296741,100.0,CRÍTICO
PARCELAS QUINO,VICTORIA,-38.239544,-72.148197,100.0,CRÍTICO
LOS TIUQUES,VICTORIA,-38.205264,-72.145302,100.0,CRÍTICO
PARCELA 22 RUCAMILLA,ERCILLA,-38.1533,-72.186341,100.0,CRÍTICO
