id,nombre_predio,comuna,latitud,longitud,nivel_importancia,hectareas
1821,LAS MALVAS (LOTE B),RIO IBANEZ,-46.102561,-72.565407,BAJO,132.61
1822,LA ENVIDIA (LOTE C),RIO IBANEZ,-46.151452,-72.617752,BAJO,49.41
1823,EL CANAL LOTE B,COYHAIQUE,-46.047137,-72.685345,BAJO,43.06
1824,MELIPAL,COYHAIQUE,-45.81605,-71.910575,BAJO,62.92
1825,RIO IBANEZ II,RIO IBANEZ,-46.070913,-72.596147,BAJO,26.66
1826,RIO IBANEZ III LOTES B Y,RIO IBANEZ,-46.095489,-72.551338,BAJO,100.74
1827,SAN MANUEL,COYHAIQUE,-45.836014,-71.908419,BAJO,98.22
1828,EL FALDEO,COYHAIQUE,-45.770656,-71.814426,BAJO,38.32
1829,EL VOLCAN,RIO IBANEZ,-46.051675,-72.70299,BAJO,244.14
1830,EL HUDSON,RIO IBANEZ,-46.057026,-72.620442,BAJO,385.4
1831,EL BLANCO II,COYHAIQUE,-45.859312,-71.965937,BAJO,73.68
1832,EL VADO,RIO IBANEZ,-46.124062,-72.536347,BAJO,147.84
1833,MELIPAL II,COYHAIQUE,-45.825904,-71.902029,BAJO,105.1
1834,SAN FRANCISCO VI,COYHAIQUE,-45.856521,-71.953563,BAJO,94.58
1835,SANTA ANA,RIO IBANEZ,-46.167341,-72.397769,BAJO,396.06
1836,EL MONTOSO,COYHAIQUE,-45.966812,-71.762365,BAJO,548.81
1837,TAPERA,COYHAIQUE,-45.970807,-71.78253,BAJO,175.73
1838,EL MINISTRO,COYHAIQUE,-45.978997,-71.785927,BAJO,247.49
1839,LAGO LAPPARENT,RIO IBANEZ,-46.250962,-72.321684,BAJO,363.56
1840,SANTA PAULA,RIO IBANEZ,-46.246165,-72.337899,BAJO,88.46
1841,BUENA VISTA,COYHAIQUE,-45.957853,-71.834045,BAJO,155.06
1842,EL DIABLO,RIO IBANEZ,-46.146672,-72.026641,BAJO,241.97
1843,EL NOGAL,NACIMIENTO,-37.474496,-72.778111,BAJO,18.98
1844,HIJUELA SANTA MARIA-LA PATAGUA,NACIMIENTO,-37.55606,-72.875642,BAJO,15.91
1845,HIJUELA 3 LOS CULENES,NACIMIENTO,-37.549475,-72.920217,BAJO,55.16
1846,LOS CHACAYES,NACIMIENTO,-37.5392,-72.950338,BAJO,48.39
1847,EL PINON HIJ.5,PENCAHUE,-35.3493,-71.672469,BAJO,54.98
1848,LAS COILERAS HIJUELA 1,PENCAHUE,-35.326792,-71.65848,BAJO,57.66
1849,SAN SEBASTIAN HIJUELA 6,PENCAHUE,-35.344568,-71.686625,BAJO,160.03
1850,SAN LUIS,NACIMIENTO,-37.600176,-72.694199,MEDIO,1562.36
1851,OFICINA PASTENE,LUMACO,-38.197603,-72.993842,MEDIO,0.14
1852,ALTO RENICO,LUMACO,-38.194785,-72.864985,BAJO,446.82
1853,DON JOSE,LUMACO,-38.236452,-73.15176,MEDIO,404.79
1854,LA FORTUNA,CONTULMO,-38.205554,-73.139778,MEDIO,200.35
1855,LA HERRADURA,LUMACO,-38.303067,-73.117465,MEDIO,172.9
1856,LA MINA Y OTRO,LUMACO,-38.283528,-73.139415,MEDIO,160.32
1857,LAS BUITRERIAS I,LUMACO,-38.282344,-72.993843,MEDIO,42.96
1858,LAS BUITRERIAS II,LUMACO,-38.294331,-72.954257,MEDIO,30.54
1859,LAS BUITRERIAS III,LUMACO,-38.275708,-72.975104,MEDIO,52.28
1860,LAS BUITRERIAS IV,LUMACO,-38.288738,-72.966495,MEDIO,24.13
