id,nombre_predio,comuna,latitud,longitud,nivel_importancia,hectareas
1,PARCELA 3 PROY. PARC. 28 DE ABRIL,CUNCO,-38.983497,-72.136052,BAJO,87.6
2,LAS BRISAS,GORBEA,-39.166564,-72.542415,BAJO,107.3
3,PARCELA 35 EL MIRADOR,VILCUN,-38.787092,-72.185746,MEDIO,50.55
4,LOS LLEUQUES,CUNCO,-38.937383,-72.07519,MEDIO,25.14
5,PARCELAS VICTORIA,VILCUN,-38.675772,-72.162089,MEDIO,80.47
6,SANTA ERNESTINA Y OTRO,CUNCO,-38.839313,-72.285067,MEDIO,38.17
7,HIJUELA 2 SAN PEDRITO LOTE A,CUNCO,-38.927564,-72.249422,MEDIO,25.37
8,LAS HORTENSIAS,CUNCO,-38.97032,-72.175375,BAJO,673.91
9,SANTA ESTER Y OTRO,CUNCO,-38.838751,-72.269024,MEDIO,292.68
10,COPIN CHICO LOTE 1,LAUTARO,-38.433562,-72.103035,MEDIO,92.52
11,EL ALAMO,LAUTARO,-38.453665,-72.109156,MEDIO,78.9
12,SANTA JUDITH,VILCUN,-38.735007,-72.128164,MEDIO,38.21
13,SANTA BARBARA,GORBEA,-39.142051,-72.489554,BAJO,26.56
14,EL PORVENIR (U),PITRUFQUEN,-39.101078,-72.915406,BAJO,166.13
15,VEGA ORIENTE (U),PITRUFQUEN,-39.116057,-72.908569,BAJO,97.92
16,EL RINCON Y OTROS,GORBEA,-39.182621,-72.575247,BAJO,70.82
17,MUCO,LAUTARO,-38.552277,-72.203211,MEDIO,111.45
18,SANTA EUGENIA,CUNCO,-39.048082,-72.298049,BAJO,464.79
19,SAN CARLOS-EL PORVENIR,GORBEA,-39.211997,-72.614378,BAJO,126.69
20,RAJADIABLO LOTES 1 Y 2,NUEVA IMPERIAL,-38.532286,-72.963265,ALTO,29.78
21,MALALCHE,NUEVA IMPERIAL,-38.522584,-73.001538,ALTO,1655.54
22,LOS CARACOLES Y LOS GUINDOS,TEMUCO,-38.77701,-72.427002,MEDIO,48.27
23,EL ROSARIO,GORBEA,-39.171956,-72.766025,BAJO,115.28
24,EL AROMO,GORBEA,-39.183119,-72.734509,BAJO,30.51
25,SANTA LUISA,PITRUFQUEN,-39.047401,-72.571743,BAJO,6.12
26,LA RECOBA DIAMANTE,TEMUCO,-38.65362,-72.614254,BAJO,41.75
27,PINTA MAHUIDA LOTE B,LAUTARO,-38.567393,-72.502415,BAJO,58.73
28,CUNCO HIJUELA 2A,LAUTARO,-38.608042,-72.46191,BAJO,2.65
29,CUNCO HIJUELA 2B,LAUTARO,-38.602249,-72.471447,BAJO,38.47
30,LOS PUMAS Y LA ESPERANZA,CUNCO,-39.034854,-72.009847,BAJO,462.91
31,PAIDAHUE,GORBEA,-39.207242,-72.719674,BAJO,37.39
32,LOTE 2 B FUNDO CUNCO,LAUTARO,-38.602249,-72.471447,BAJO,14.98
33,HIJUELA 1 LOTE 2 FDO.CUNCO,LAUTARO,-38.615763,-72.477657,BAJO,49.23
34,HIJUELA 1 LOTE 2 FUNDO CUNCO (V),LAUTARO,-38.615763,-72.477657,BAJO,49.17
35,HIJUELA 1 LOTE 3 FUNDO CUNCO (U),LAUTARO,-38.613221,-72.487015,BAJO,39.75
36,CUNCO GRANDE HIJUELA 1 LOTE 3,LAUTARO,-38.613221,-72.487015,BAJO,51.94
37,SANTA ROSA LOTE C1,GORBEA,-39.215483,-72.694613,BAJO,23.74
38,SAN JUAN CHICO 2,LAUTARO,-38.577803,-72.502863,BAJO,75.74
39,TRES HIJUELAS 2,GORBEA,-39.189242,-72.632174,BAJO,80.59
40,SANTA SABINA,LAUTARO,-38.608692,-71.991191,MEDIO,114.9
41,EL RETIRO 2,GORBEA,-39.140705,-72.798935,BAJO,31.19
42,NIAGARA,VILCUN,-38.767383,-72.397464,MEDIO,67.51
43,SAN HERIBERTO,GORBEA,-39.084243,-72.706608,BAJO,66.39
44,SANTA ESTER (USUFRUCTO),LAUTARO,-38.436586,-72.097052,MEDIO,76.56
45,SAN GREGORIO,PITRUFQUEN,-39.098949,-72.786478,BAJO,18.93
46,HIJUELA OHIGGINS,PITRUFQUEN,-39.127529,-72.947409,BAJO,13.97
47,LAS LOMAS (CAUTIN),CHOLCHOL,-38.567212,-72.825724,BAJO,74.77
48,PASO REAL,LAUTARO,-38.500451,-72.572096,BAJO,15.59
49,EL PORVENIR (CAUTIN),CHOLCHOL,-38.555417,-72.82249,BAJO,78.64
50,SANTA TERESA (CAUTIN),LAUTARO,-38.605438,-72.551025,BAJO,42.74
51,LT-B LAS TRIACAS SUR,CHOLCHOL,-38.563018,-73.016283,ALTO,126.14
52,SANTA LAURA,CHOLCHOL,-38.566728,-72.804421,BAJO,121.05
53,CERRO NEGRO,TIRUA,-38.394751,-73.446372,ALTO,26.22
54,EL COIGUE Y OTROS,CONTULMO,-38.207726,-73.232838,ALTO,29.96
55,HIJUELA 46 LOTE A LONCOTRIPAY,TIRUA,-38.378497,-73.41995,ALTO,16.85
56,CUYEL ALTO,TIRUA,-38.409584,-73.444861,ALTO,44.93
57,HIJUELA 3 LA HUACHA LOTE B,TIRUA,-38.323145,-73.436269,ALTO,47.45
58,MELINCHIQUE,CONTULMO,-38.098536,-73.115207,BAJO,97.54
59,HIJUELA 1 PRIMERA AGUA,CARAHUE,-38.416661,-73.480445,ALTO,53.08
60,MANZANARES,PUREN,-38.030193,-73.191984,BAJO,111.71
61,CHACRAS BUENAS I,CONTULMO,-38.066633,-73.226027,BAJO,33.72
62,PIEDRA ROJA III,CONTULMO,-38.173849,-73.108307,MEDIO,24.18
63,EL ESTERO II,TIRUA,-38.387631,-73.435429,ALTO,40.68
64,FILO ALTO,TIRUA,-38.397797,-73.469384,ALTO,167.84
65,ESPERANZA IV Y OTRO,CONTULMO,-38.071046,-73.220544,BAJO,57.15
66,MIRAMAR,CANETE,-38.003222,-73.314063,BAJO,127.97
67,LA POSADA Y PUERTO ALEGRE,CONTULMO,-38.121851,-73.307309,ALTO,206.54
68,ROBLE HUACHO II,CONTULMO,-38.057866,-73.22531,BAJO,28.49
69,LA FORTUNA,CONTULMO,-38.099712,-73.270714,BAJO,107.91
70,EL NOGAL II,CONTULMO,-38.027107,-73.254474,BAJO,285.57
71,SANTA CLARISA II,CANETE,-37.792054,-73.329202,MEDIO,399.19
72,HUILQUEHUE LOTE 2,CANETE,-37.881032,-73.315886,BAJO,69.14
73,LA CAMPANA II,TIRUA,-38.342896,-73.394454,ALTO,110.19
74,EL DESIERTO LOTE A Y B2,TIRUA,-38.371669,-73.334878,MEDIO,18.07
75,LA VEGA (USUFRUCTO),CONTULMO,-37.948352,-73.299387,BAJO,121.88
76,LA CAMPANA LOTE 1C LOTE A,TIRUA,-38.34565,-73.409771,ALTO,127.58
77,LA CAMPANA LOTE 1B2 Y 1B4,TIRUA,-38.34802,-73.40235,ALTO,93.25
78,SANTA ANA 2,TIRUA,-38.257507,-73.504357,ALTO,2.68
79,EPUMALLÍN (LT-2 - HJ-N┬║4),CANETE,-37.739956,-73.284048,MEDIO,85.06
80,MANZANAL,PUREN,-38.044522,-73.161521,BAJO,70.38
81,"LT-2, 3 Y 5 SANTO DOMINGO",LEBU,-37.547164,-73.554948,BAJO,56.98
82,HORIZONTE LT-B,PUREN,-38.042544,-73.173587,BAJO,9.42
83,CHUPALLAR,PUREN,-38.021207,-73.191179,BAJO,2.53
84,HIJUELA 36 LOTE A LONCOTRIPAY,TIRUA,-38.379191,-73.402964,ALTO,37.01
85,HIJUELA 1 LOTE A LONCOTRIPAY,TIRUA,-38.396594,-73.388691,ALTO,20.83
86,HIJUELA 26 LOTE A LONCOTRIPAY,TIRUA,-38.389297,-73.409006,ALTO,16.11
87,ITURRA,CONTULMO,-38.187228,-73.167443,MEDIO,34.03
88,RESERVA CHOQUE,TIRUA,-38.224301,-73.252512,ALTO,274.61
89,VICTORIA,CONTULMO,-38.110543,-73.141435,MEDIO,49.06
90,SANTA JOVITA,CONTULMO,-38.124415,-73.17183,MEDIO,31.29
91,EL TOQUI I,CONTULMO,-37.980925,-73.174853,BAJO,30.67
92,HIJUELA 20 PRIMERA AGUA,TIRUA,-38.416861,-73.4641,ALTO,42.6
93,PARCELA 36 LLEU-LLEU LOTE A,CANETE,-38.086899,-73.319437,BAJO,65.16
94,PIEDRA SANTA,PUREN,-38.028693,-73.175372,BAJO,277.99
95,CHOQUE CHICO,TIRUA,-38.283391,-73.313371,ALTO,482.96
96,LA HERA,CONTULMO,-38.193783,-73.204667,MEDIO,62.02
97,SAN FELIX,CONTULMO,-38.196104,-73.266137,ALTO,74.79
98,ESTERO CUYEL,TIRUA,-38.394063,-73.41937,ALTO,76.26
99,HIJUELA 2 CERRO NEGRO,TIRUA,-38.391483,-73.453132,ALTO,7.08
100,HIJUELA 17 LONCOTRIPAY LOTE C,TIRUA,-38.403526,-73.482128,ALTO,46.74
101,HUILLINCO HIJUELA C LOTE 1,TIRUA,-38.30544,-73.430196,ALTO,156.79
102,EL CARACOL,TIRUA,-38.302431,-73.439022,ALTO,36.09
103,CUYEL II,TIRUA,-38.404641,-73.451996,ALTO,23.91
104,EL PUERTO,CONTULMO,-38.207524,-73.25577,ALTO,85.17
105,SAN RAMON III,TIRUA,-38.224732,-73.233753,ALTO,90.34
106,EL BADO,CONTULMO,-38.218721,-73.231649,ALTO,12.13
107,EL RETAZO,CONTULMO,-38.202309,-73.264023,ALTO,7.65
108,LISPERGUER,CONTULMO,-38.21172,-73.247641,ALTO,36.34
109,HUINCHICO,CONTULMO,-38.203947,-73.251612,ALTO,44.32
110,EL MIRADOR (CAUTIN),PUREN,-38.022956,-73.184495,BAJO,14.57
111,LA CABANA,ANGOL,-37.835851,-72.564902,MEDIO,748.55
112,LAS NIEVES-HUELEHUEICO,ANGOL,-37.836213,-72.513769,MEDIO,1590.03
113,MININCO,COLLIPULLI,-37.840643,-72.468438,MEDIO,3286.19
114,CUTIPAY,ANGOL,-37.830064,-72.599427,MEDIO,359.15
115,SANTA MARGARITA,COLLIPULLI,-37.822066,-72.440958,MEDIO,395.52
116,HUELEHUEICO II,COLLIPULLI,-37.800384,-72.492731,MEDIO,601.89
117,LA VEGA,COLLIPULLI,-37.79486,-72.45561,MEDIO,56.83
118,EL NOGAL,MULCHEN,-37.78058,-72.450782,MEDIO,16.16
119,EL RETIRO III,COLLIPULLI,-37.935909,-72.510669,MEDIO,150.63
120,LA MANANA,COLLIPULLI,-37.838414,-72.407904,MEDIO,78.29
121,SANTO DOMINGO,COLLIPULLI,-37.956671,-72.467112,MEDIO,129.11
122,CAMPANARIO LOTE 1,RENAICO,-37.757249,-72.487732,MEDIO,1425.04
123,PARCELAS EL EDEN - EL ALAMO,COLLIPULLI,-37.893437,-72.462572,MEDIO,375.15
124,PAN GRANDE,COLLIPULLI,-37.889896,-72.433918,MEDIO,1685.86
125,INVERNADA,COLLIPULLI,-37.873374,-72.395026,ALTO,849.38
126,PORVENIR,COLLIPULLI,-37.892585,-72.344308,ALTO,897.48
127,LA GRANJA,COLLIPULLI,-37.916758,-72.395203,ALTO,761.69
128,PARLAMENTO,COLLIPULLI,-37.939331,-72.374584,ALTO,725.37
129,LA ESCUADRA,COLLIPULLI,-37.860025,-72.427664,MEDIO,304.99
130,SANTA JULIA LOTE-2,COLLIPULLI,-38.094484,-71.948271,BAJO,53.79
131,SANTA EMILIA LOTES 1A-2A Y 1B Y 2B,COLLIPULLI,-37.782531,-72.473896,MEDIO,53.72
132,PARCELAS 8 Y 11 EL EDEN,COLLIPULLI,-37.889353,-72.480695,MEDIO,96.86
133,SAN JUAN,COLLIPULLI,-38.095896,-71.94626,BAJO,16.51
134,PARCELAS SAN JORGE,COLLIPULLI,-37.960878,-72.31543,ALTO,83.36
135,PARCELA 11 LOS AROMOS,COLLIPULLI,-37.877411,-72.491557,MEDIO,68.36
136,PARCELA 5 LOS AROMOS Y SITIO 1,COLLIPULLI,-37.877207,-72.508747,MEDIO,79.04
137,EL NARANJO LOTE-A,COLLIPULLI,-37.941367,-72.489555,MEDIO,69.74
138,PARCELA 1 Y 2 SAN JORGE,COLLIPULLI,-37.95552,-72.291702,ALTO,108.54
139,HIJUELA 3 ETIOPIA LOTE B,COLLIPULLI,-37.902521,-72.384364,ALTO,73.59
140,STA ELENA HIJUELA 4,COLLIPULLI,-37.987193,-72.149143,ALTO,15.34
141,PARCELA 9 SALTO DE CHANC,COLLIPULLI,-37.936219,-72.289982,ALTO,36.05
142,SAN AGUSTIN,COLLIPULLI,-37.97904,-72.151076,ALTO,48.37
143,SANTA BALBINA HIJ. B - L,COLLIPULLI,-37.971773,-72.406435,ALTO,54.72
144,PARCELA 5 SANTA ELENE LOTE B,COLLIPULLI,-37.983726,-72.138986,ALTO,8.16
145,SAN AGUSTIN 2,COLLIPULLI,-37.981016,-72.146895,ALTO,24.43
146,HIJUELA 1 EL AIRE,COLLIPULLI,-37.984801,-72.155109,ALTO,14.61
147,PARC 1 J.M.CARERA LOTE 1,COLLIPULLI,-38.010893,-72.363287,ALTO,15.14
148,PARCELA 1 EL SOL LOTE-A,COLLIPULLI,-38.008975,-72.382559,ALTO,34.76
149,PARCELA 5 JOSE MIGUEL CA,COLLIPULLI,-37.998686,-72.353718,ALTO,42.15
150,NIZA LOTE C2A,COLLIPULLI,-37.890739,-72.385226,ALTO,56.09
151,PARCELA 27 CHILE NUEVO,COLLIPULLI,-37.951265,-72.155102,ALTO,32.53
152,PARCELA 8 Y 9 LOS AROMOS,COLLIPULLI,-37.886802,-72.48995,MEDIO,121.6
153,PARCELA 19 EL EDEN,COLLIPULLI,-37.910814,-72.459834,MEDIO,72.14
154,PARCELA 6 EL EDEN,COLLIPULLI,-37.904266,-72.490527,MEDIO,57.81
155,PARC 12 LOS AROMOS,COLLIPULLI,-37.871397,-72.497304,MEDIO,94.53
156,SAN JUAN DE ANGOSTURA,COLLIPULLI,-37.918108,-72.424387,MEDIO,38.04
157,PARC 7 LOS AROMOS,COLLIPULLI,-37.883591,-72.496538,MEDIO,56.73
158,PARCELA 1 EL EDEN,COLLIPULLI,-37.912758,-72.464864,MEDIO,72.81
159,PARCELA 2 EL EDEN,COLLIPULLI,-37.919264,-72.465544,MEDIO,56.41
160,PARCELA 17 EL EDEN,COLLIPULLI,-37.903182,-72.468269,MEDIO,52.67
161,PARCELA 26 LIB.CAMPESINA,COLLIPULLI,-38.068266,-72.257055,ALTO,61.82
162,HIJUELA 68 LA UNION L.3,COLLIPULLI,-38.084823,-71.819679,BAJO,67.17
163,SANTA MARINA LOTE A,RENAICO,-37.812212,-72.536672,MEDIO,202.69
164,PARCELAS M. RODRIGUEZ,COLLIPULLI,-38.092134,-72.167751,ALTO,296.9
165,PARCELA 20 UNION CHILENA,COLLIPULLI,-38.040446,-72.209972,ALTO,30.52
166,SENTEMENTO,COLLIPULLI,-37.934792,-72.347133,ALTO,119.6
167,SANTA JULIA,COLLIPULLI,-38.095282,-71.977876,BAJO,142.97
168,SAN LUIS HIJUELA,COLLIPULLI,-38.081721,-72.012337,BAJO,25.67
169,SELVA SUR,COLLIPULLI,-38.07167,-72.110954,ALTO,207.09
170,"MONTAÑA 2,LA",COLLIPULLI,-38.073631,-72.15198,ALTO,678.96
171,SANTA SARA,COLLIPULLI,-37.97422,-72.144447,ALTO,103.53
172,LA SELVA,COLLIPULLI,-38.057391,-72.105439,ALTO,341.49
173,"TESORO,EL",COLLIPULLI,-37.939983,-72.359453,ALTO,191.26
174,NIZA,COLLIPULLI,-37.870183,-72.344762,ALTO,398.27
175,LA LEONA 2,COLLIPULLI,-38.042747,-72.024611,BAJO,265.16
176,MANUEL RODRIGUEZ P-32,COLLIPULLI,-38.049289,-72.118895,ALTO,43.99
177,LA SUERTE P-2,COLLIPULLI,-37.972872,-72.133702,ALTO,227.28
178,"SUERTE,LA P-13",COLLIPULLI,-38.02971,-72.098509,ALTO,89.65
179,MANUEL RODRIGUEZ P-26,COLLIPULLI,-38.064637,-72.124666,ALTO,50.71
180,"SUERTE,LA P-12",COLLIPULLI,-38.033677,-72.089923,ALTO,57.7
181,SANTO DOMINGO 4,COLLIPULLI,-38.095227,-71.969771,BAJO,20.52
182,MANUEL RODRIGUEZ P-23,COLLIPULLI,-38.069507,-72.127435,ALTO,58.11
183,MANUEL RODRIGUEZ P-33,COLLIPULLI,-38.048025,-72.129813,ALTO,51.93
184,CHILE NUEVO P-4,COLLIPULLI,-37.985608,-72.161598,ALTO,34.51
185,LA SUERTE PARCELA 4,COLLIPULLI,-37.995996,-72.111606,ALTO,100.5
186,COLONIA NIZA PARC. 2,COLLIPULLI,-37.94075,-72.343614,ALTO,131.22
187,"SUERTE,LA P-1",COLLIPULLI,-37.959617,-72.13989,ALTO,198.48
188,TOTORAS SECTOR 1,ANGOL,-37.859967,-72.543235,MEDIO,1537.66
189,TOTORAS SECTOR 2,ANGOL,-37.882656,-72.547226,MEDIO,1040.95
190,TOTORAS SECTOR 3,COLLIPULLI,-37.892083,-72.507658,MEDIO,1274.74
191,NIZA,COLLIPULLI,-37.886667,-72.399264,ALTO,474.98
192,SAN ROBERTO,COLLIPULLI,-37.911994,-72.379055,ALTO,156.07
193,SAN ANTONIO,COLLIPULLI,-37.935906,-72.40833,ALTO,418.91
194,SAN CARLOS,COLLIPULLI,-37.965284,-72.390965,ALTO,104.54
195,LA PENA,COLLIPULLI,-38.015278,-72.202816,ALTO,468.03
196,EL RAULI Y OTROS,COLLIPULLI,-38.097391,-72.140207,ALTO,1301.47
197,LA ISLA,COLLIPULLI,-38.116356,-72.063216,ALTO,1370.82
198,ANCHIMALLEN,COLLIPULLI,-38.08554,-72.111125,ALTO,581.78
199,RUCANANCO,COLLIPULLI,-37.945809,-72.268484,ALTO,1092.95
200,MAPULHUE A,COLLIPULLI,-38.016337,-72.096816,ALTO,723.13
201,MAPULHUE B,COLLIPULLI,-38.047084,-72.078449,ALTO,300.51
202,EL PROGRESO,COLLIPULLI,-37.969099,-72.205603,ALTO,494.04
203,PARCELAS LIBERTAD CAMPESINA,COLLIPULLI,-38.064616,-72.233673,ALTO,405.57
204,PARCELA 26 TRANQUENANCO,COLLIPULLI,-37.966287,-72.22319,ALTO,42.46
205,VIVA CHILE (EX-M.RODRIG),COLLIPULLI,-38.095379,-72.174294,ALTO,60.4
206,CHILE NUEVO,COLLIPULLI,-37.947978,-72.175954,ALTO,237.43
207,PARCELA FUTURO DE CHILE,COLLIPULLI,-38.147335,-72.063572,ALTO,76.61
208,PARCELA 25 UNION CHILENA LOTE-A,COLLIPULLI,-38.055731,-72.205715,ALTO,63.87
209,PARCELA 13 JOSE MIGUEL C,COLLIPULLI,-37.993228,-72.363765,ALTO,47.13
210,PARCELA 7 EL SOL,COLLIPULLI,-38.001302,-72.364509,ALTO,34.48
211,PARCELA 19 FUTURO DE CHILE,COLLIPULLI,-38.115085,-72.090776,ALTO,9.15
212,PARCELA 29 CHILE NUEVO,COLLIPULLI,-37.955935,-72.147835,ALTO,42.81
213,EL ROSAL Y SAN CARLOS,COLLIPULLI,-37.968297,-72.369551,ALTO,366.61
214,UNION CHILENA,COLLIPULLI,-38.058869,-72.16603,ALTO,222.24
215,SANTA MARTA DE LUJAN,COLLIPULLI,-38.109194,-72.036989,ALTO,162.11
216,SANTA EMA,COLLIPULLI,-37.936363,-72.195825,ALTO,299.24
217,CABRAMALLIN,COLLIPULLI,-37.954132,-72.352378,ALTO,318.18
218,LA ESPERANZA,COLLIPULLI,-37.853683,-72.387336,ALTO,71.51
219,JAUJA,COLLIPULLI,-38.059569,-71.947026,BAJO,9130.59
220,SANTA LUISA,COLLIPULLI,-38.086808,-71.999393,BAJO,961.83
221,LAS PIEDRAS,COLLIPULLI,-38.081277,-71.976373,BAJO,668.7
222,SANTA JULIA,COLLIPULLI,-38.109393,-71.939251,BAJO,96.65
223,PARCELA 29 TRANQUE NANCO,COLLIPULLI,-37.949622,-72.222179,ALTO,48.24
224,PARCELA 5 Y 6 LA CONQUISTA,COLLIPULLI,-38.120801,-72.09985,ALTO,114.95
225,PARCELAS SAN JORGE,COLLIPULLI,-37.903068,-72.333312,ALTO,234.73
226,PARCELA GUAYACAN,COLLIPULLI,-38.068832,-72.168758,ALTO,46.11
227,PARCELAS LIBERTAD CAMPESINA,COLLIPULLI,-38.058293,-72.253076,ALTO,426.47
228,PARCELA 15 LIBERTAD CAMPESINA,COLLIPULLI,-38.060001,-72.247288,ALTO,37.7
229,PARCELA 5 EL PROGRESO,COLLIPULLI,-37.983551,-72.215184,ALTO,56.64
230,CIEN CUADRAS,COLLIPULLI,-38.008671,-72.231567,ALTO,260.11
231,PARCELAS EL SOL,COLLIPULLI,-37.995271,-72.380479,ALTO,163.65
232,P.M.RODRIGUEZ 27-28-29-30,COLLIPULLI,-38.057372,-72.12749,ALTO,193.4
233,PARCELA 18 Y 19 SAN ANDRES,COLLIPULLI,-38.032043,-72.06594,ALTO,257.57
234,PARCELAS JOSE MIGUEL CAR,COLLIPULLI,-38.006527,-72.358583,ALTO,231.8
235,PARCELAS TRANQUENANCO,COLLIPULLI,-37.962135,-72.233334,ALTO,263.52
236,SANTO DOMINGO NORTE,COLLIPULLI,-37.950456,-72.180256,ALTO,220.52
237,PAR. RES. FORESTAL MALLECO,COLLIPULLI,-38.086527,-71.831721,BAJO,699.21
238,SAN CARLOS CHICO,COLLIPULLI,-37.951753,-72.395222,ALTO,158.03
239,PARCELAS SURCO Y SEMILLA,COLLIPULLI,-38.013647,-72.292908,ALTO,166.76
240,PARCELA 1 EL PROGRESO,COLLIPULLI,-37.987656,-72.228044,ALTO,56.52
241,PARCELAS CHANCAHUE,COLLIPULLI,-37.940822,-72.28634,ALTO,80.33
242,PARCELA 13 EL PROGRESO,COLLIPULLI,-37.960506,-72.2079,ALTO,76.1
243,PARCELA 8 EL PROGRESO,COLLIPULLI,-37.972174,-72.217601,ALTO,41.07
244,PARCELA 3 EL PROGRESO LOTE A,COLLIPULLI,-37.987841,-72.211008,ALTO,23.17
245,PARCELA 21 UNION CHILENA,COLLIPULLI,-38.033568,-72.201822,ALTO,44.81
246,PARCELA 19 EL PROGRESO,COLLIPULLI,-37.947098,-72.207599,ALTO,42.91
247,SANTA BALBINA (LOTE A ),COLLIPULLI,-37.971442,-72.394344,ALTO,94.32
248,PICHACO LOTE-A,COLLIPULLI,-38.012571,-72.356135,ALTO,64.46
249,PARCELA 7 NIZA LOTE A,COLLIPULLI,-37.894163,-72.375334,ALTO,66.2
250,PARCELA 42 SURCO Y SEMILLA,COLLIPULLI,-38.021491,-72.227318,ALTO,94.91
251,PARCELA 81 RESERVA FORESTAL MALLECO L-A,COLLIPULLI,-38.098398,-71.807712,BAJO,48.18
252,PARCELA 9 EL EDEN,COLLIPULLI,-37.896429,-72.47551,MEDIO,50.34
253,HIJUELA SANTA ROSA Y LOS,ERCILLA,-37.974298,-72.454283,MEDIO,92.13
254,GUAYACAN Y OTROS,COLLIPULLI,-38.064165,-72.184957,ALTO,270.0
255,LA CONQUISTA Y OTROS,COLLIPULLI,-38.115551,-72.107355,ALTO,163.05
256,GASPARITO Y OTROS,COLLIPULLI,-37.973672,-72.256936,ALTO,298.23
257,SANTA CATALINA,COLLIPULLI,-38.020647,-72.306078,ALTO,592.25
258,PARCELAS SAN JORGE,COLLIPULLI,-37.94398,-72.328692,ALTO,222.38
259,PARCELA 20 LIBERTAD CAMPESINA,COLLIPULLI,-38.047722,-72.256476,ALTO,44.78
260,PARCELAS TRANQUENANCO,COLLIPULLI,-37.932162,-72.210408,ALTO,138.57
261,SAN CARLOS CHICO LOTE B1,COLLIPULLI,-37.953461,-72.388759,ALTO,91.76
262,PARCELAS SAN JORGE,COLLIPULLI,-37.91269,-72.334402,ALTO,182.21
263,HIJUELA 2 LOTE 1A RES.FOR.MALLECO,COLLIPULLI,-38.071859,-71.868839,BAJO,0.81
264,MAPUÑANCO LOTE 1B RESERVA CORA N┬░1,COLLIPULLI,-38.032728,-72.119541,ALTO,628.33
265,SANTA ELISA II,COLLIPULLI,-37.776424,-72.491579,MEDIO,101.54
266,HIJUELA 4 ETIOPIA,COLLIPULLI,-37.906079,-72.391103,ALTO,78.07
267,PLANTA PACIFICO,COLLIPULLI,-37.780599,-72.483454,MEDIO,280.28
268,PLANTA CONTRACHAPADO (PLYWOOD),COLLIPULLI,-37.797709,-72.47857,MEDIO,48.81
269,SANTA MARINA LOTE B 2,RENAICO,-37.827797,-72.52458,MEDIO,211.23
270,LOS ALPES LOTE 2,ANGOL,-37.848512,-72.594415,MEDIO,605.44
271,UNIDAD CAMPESINA PC-3 LT-B,ANGOL,-37.862816,-72.573661,MEDIO,78.89
272,CHUMPIRRO LT-E2,RENAICO,-37.791241,-72.574662,MEDIO,49.38
273,NIZA PC-10,COLLIPULLI,-37.877623,-72.345392,ALTO,36.82
274,MELICO,COLLIPULLI,-37.800489,-72.445764,MEDIO,32.95
275,CASA MININCO,COLLIPULLI,-37.797843,-72.473313,MEDIO,0.15
276,PARCELA 4 LOS AROMOS,COLLIPULLI,-37.897257,-72.491422,MEDIO,49.32
277,SITIO 4 P4 LOS AROMOS,COLLIPULLI,-37.874132,-72.503209,MEDIO,3.21
278,LA SUERTE Y EL RADAL,COLLIPULLI,-38.024787,-72.085881,ALTO,38.21
279,SURCO Y SEMILLA,COLLIPULLI,-38.028805,-72.272137,ALTO,49.92
280,LA ARAUCANIA,COLLIPULLI,-37.925462,-72.204224,ALTO,70.83
281,LOTE G2 LA VERTIENTE,COLLIPULLI,-37.794825,-72.499442,MEDIO,0.7
282,SAN ALBERTO,NUEVA IMPERIAL,-38.656058,-73.084956,BAJO,296.77
283,BUENA SUERTE,CARAHUE,-38.41389,-73.190504,MEDIO,405.13
284,EL CEREZO,CARAHUE,-38.420382,-73.170775,ALTO,158.24
285,EL ENCANTO,CARAHUE,-38.442104,-73.162403,ALTO,1245.13
286,HUAMAQUI,NUEVA IMPERIAL,-38.517019,-73.045542,ALTO,1699.25
287,MAGALLANES,CARAHUE,-38.460809,-73.226409,MEDIO,1353.82
288,PINO HUACHO,CARAHUE,-38.434693,-73.193782,ALTO,458.36
289,SAN ANTONIO,CARAHUE,-38.540519,-73.117484,ALTO,434.9
290,SAN RICARDO,CARAHUE,-38.493148,-73.124342,ALTO,960.98
291,TOQUIHUE,CARAHUE,-38.505481,-73.219675,BAJO,514.56
292,SANTA RINA,CARAHUE,-38.436227,-73.395965,ALTO,129.78
293,BOROA LOTE B 1,TOLTEN,-39.297532,-73.123309,BAJO,24.03
294,PUMALAL IV,TOLTEN,-39.043282,-73.017334,BAJO,18.99
295,LLINCO III,NUEVA IMPERIAL,-38.881505,-72.986036,MEDIO,19.65
296,SANTA VALENTINA,CARAHUE,-38.575268,-73.332892,BAJO,33.26
297,SAN HUMBERTO LOTE A,TOLTEN,-39.088867,-73.031652,BAJO,10.21
298,PALO SANTO I,TOLTEN,-39.265649,-73.002401,BAJO,35.18
299,SANTA EMA Y OTROS,TOLTEN,-39.277484,-72.994144,BAJO,233.24
300,BUENA VISTA,TEODORO SCHMIDT,-39.005787,-73.01874,MEDIO,80.18
301,COIHUECO,TEODORO SCHMIDT,-38.933031,-73.143561,MEDIO,107.22
302,PINO SOLO,TOLTEN,-39.261897,-72.946342,BAJO,21.69
303,PARCELA DINAMARCA I Y II,CARAHUE,-38.576992,-73.20333,BAJO,30.4
304,LA CARRERA LOTE A,TOLTEN,-39.111237,-73.038225,BAJO,73.51
305,PARCELA 2 COLONIA TOLTEN LOTE A,TOLTEN,-39.031348,-73.019122,BAJO,106.57
306,SANTA RITA LOTE A,TOLTEN,-39.260713,-73.098146,BAJO,61.88
307,PENEHUE,TEODORO SCHMIDT,-38.995601,-73.025678,MEDIO,27.9
